68	68	71	59
71	104	51	87
90	99	59	72
116	68	99	66
89	109	63	69
100	114	72	69
94	98	54	77
51	58	82	85
65	63	79	117
105	60	91	102
85	92	110	101
75	59	94	60
105	64	81	56
119	97	50	76
88	98	108	84
58	89	77	76
59	65	114	71
62	85	95	82
78	98	61	68
96	94	99	93
55	94	64	116
107	74	109	78
96	109	88	81
120	70	71	65
50	111	112	92
115	64	51	63
115	63	110	116
88	118	118	76
116	73	64	105
89	69	111	103
97	106	105	108
89	65	79	71
71	117	114	88
76	96	104	116
105	104	100	102
64	62	76	74
114	74	101	101
69	84	104	59
74	99	119	54
107	77	101	88
82	63	113	101
95	101	60	92
85	56	96	92
89	116	54	101
60	57	106	50
114	88	106	77
90	60	76	102
104	114	68	114
85	101	64	81
56	106	116	111
79	71	90	109
56	119	118	65
56	73	100	86
88	64	109	54
71	117	73	53
54	111	80	95
60	108	53	97
56	105	103	106
111	94	112	80
69	111	76	106
84	111	63	74
110	117	80	94
57	100	107	103
82	90	73	119
120	108	116	119
55	110	118	89
86	120	80	119
101	87	53	63
119	120	81	101
99	89	67	56
70	73	61	98
63	117	72	97
89	92	104	94
65	112	93	72
110	111	52	74
60	88	92	118
50	53	51	53
63	55	72	85
66	104	64	91
88	87	50	114
50	112	55	76
58	60	79	83
80	95	90	89
90	50	66	101
50	95	66	111
92	51	99	56
98	106	64	65
90	112	75	62
120	117	51	96
73	99	113	118
85	113	85	111
104	99	71	115
102	89	67	72
98	87	68	119
100	72	114	120
110	67	102	85
79	76	112	82
91	66	86	117
69	57	99	90
77	117	60	118
51	70	71	55
83	69	68	106
66	108	114	78
57	58	107	55
56	78	111	51
118	59	96	55
57	62	97	53
112	75	104	64
55	125	125	55
59	61	73	115
50	98	103	50
85	86	56	53
69	112	109	78
71	61	117	77
52	53	108	115
111	67	82	74
81	92	65	83
111	55	103	106
51	73	90	85
94	64	61	103
107	98	71	117
73	97	87	71
69	107	96	87
115	60	87	87
116	111	110	83
92	69	60	72
90	101	115	112
107	89	67	99
58	111	115	90
65	83	90	70
103	93	93	77
60	73	94	62
67	87	96	80
82	118	109	106
70	80	67	78
66	74	106	109
62	62	89	92
79	50	75	52
93	101	93	67
108	67	87	84
91	98	88	87
63	59	69	96
76	54	89	116
120	58	65	64
112	71	117	53
78	85	65	65
101	78	90	51
98	82	82	98
105	78	97	85
97	110	98	94
118	90	58	63
52	67	109	73
78	107	50	70
88	51	74	112
118	70	67	68
94	74	97	83
53	119	97	70
120	111	80	110
84	78	101	52
57	65	99	118
73	103	102	112
106	107	112	85
118	71	79	120
118	102	67	86
104	116	66	55
109	51	84	88
94	57	70	101
96	63	115	90
83	69	116	63
109	95	105	104
102	77	112	69
63	79	57	99
112	94	90	116
96	90	78	73
55	71	74	68
62	64	73	63
86	115	120	72
77	91	63	92
76	53	70	69
101	85	82	82
112	78	117	92
60	111	74	62
67	73	107	113
101	89	76	110
58	115	105	70
79	82	64	108
102	85	75	54
98	92	88	67
58	95	107	68
74	61	89	66
101	111	94	64
82	61	87	103
96	104	100	50
77	66	83	60
106	112	82	57
69	80	115	67
114	50	102	70
91	105	68	96
73	77	58	55
117	102	71	87
71	87	60	66
105	57	118	67
62	52	112	94
99	80	64	71
72	58	65	107
64	117	118	70
78	72	51	93
70	81	56	94
68	73	81	88
77	76	117	68
118	118	97	76
85	104	67	89
98	120	59	75
53	127	127	53
95	92	114	87
108	56	117	95
71	79	105	98
89	71	98	94
